appid,name
636400,CUBOTS The Origins
636580,Primal Reign
637310,Stream Service
638920,BeanVR—The Social VR APP
642000,Regenesis Arcade Lite
644610,Drums Hero PC
645830,Son Korsan
646360,El Ministerio del Tiempo VR: El tiempo en tus manos
647000,RoBros
648600,FINAL FANTASY XV WINDOWS EDITION MOD ORGANIZER
650720,SlipDrive
652550,Vickinachi
655460,Hooligan Vasja: Halloween
655600,PHAT STACKS 2
656680,Bomb Defense
657810,Blessed Surface
658420,Agents of Aggro City Online
659460,RiotZ
659630,Tiny Toyfare
661300,Radical Spectrum: Volume 2
661670,Renegade Grounds: Episode 1
661950,FlyingRock: Arena
662470,SoundLites
662700,Chop and Drop VR
663760,Outgun
664030,Time To Walk Alone
666090,Bad Government
667360,Hooligan Vasja: Christmas
669440,IKAROS
671310,Pararea--Social VR for Everyone (Beta)
671580,NeoCube
673900,Avem33
676490,Heroes of Civilizations
680170,VR Triber
680780,DEATH TRAIN - Warning: Unsafe VR Experience
683960,Tower And Guardian 塔与守护者
684250,月之暗面 The Dark Side Of The Moon
686870,Lost Items
687280,The Awakening
688630,Nightork Adventures 2 - Legacy of Chaos
690250,Judge Dredd 95
692530,Community Garden
697970,Pyramaze: The Game
700060,Space Station Continuum
701900,Splat the Blob
703210,My Little Worms
703920,Bang Bang Fruit 2
704430,Space Survivors I: The Reckoning
704880,Trident's Wake
708450,Pembrey
708990,Turtle's Quest
709480,麻将VR
711070,Kim Jong-Boom
711560,Stone Flower
715810,Project Amalthea: Battlegrounds
716900,El Ministerio del Tiempo VR: Salva el tiempo
717190,Super Dungeon Master Ace RPG
719300,Daemonsgate
719540,VR DREAM MATCH BASEBALL
719950,Windows Mixed Reality for SteamVR
721420,FIGHTING BOX
723760,Steamburg
724430,Knights Hunt
727280,Scrap
728050,❂ Heroes of Hexaluga ❂
730090,Travel VR
731320,Speebot
735460,Highway Madness
738080,Creatio Ex Nihilo: Aition
738190,Morth
739240,The Ghosts of Hackney Mills
741320,The Song of Terminus  終焉的迴響:護界者之歌
742540,Keep Rollin!
744610,TAD: That Alien Dude
745250,YAPP: Yet Another Puzzle Platformer
745750,Viking Village
746350,Air Combat Arena
747210,Voyage Senki VR 海洋传说 VR
751200,Puzzle Tactics
753090,Marius
754320,Pixel Noir
757380,Ship Ahoy Open BETA
758010,Big NEON Tower VS Tiny Square
759500,Dragon Hunter
763770,Space Stories: Darth Star
767100,Super Poop
769630,紅蜘蛛外伝：暗戦
770090,La Camila: A VR Story
780740,Silent Footsteps
783070,Robotics in VR
783140,Removed
787120,There Is No Tomorrow
787140,The Adventures of Kusoge
787750,Blazing Core (beta)
791380,Way Out
791950,Hiking Simulator 2018
792640,Inca Blocks
793240,Merlin vs Zombies
793250,Casino Poker
798950,Logout
800160,斗地主VR
800350,Casino Blackjack
801610,Amigo Fishing
801910,Orbos
803010,Supermedium - Virtual Reality Browser
805520,The Dwarves of Glistenveld
809150,Tesseract VR
812190,Miasma Caves
813440,DrillsVR
815240,Forest Harvester Simulator
815260,Lords of Kingdoms
815840,Sword Mans
819950,Archer's story
821680,Military Operations: Benchmark
831450,Kolb Antarctica Experience
834210,Clicker Planet
834450,Roarr! The Adventures of Rampage Rex
834470,Zima uhodi!
838530,Ball Escape
839680,The Front of Greed
840620,Geometry Boxer
840940,Spirits of Metropolis: Legacy Edition
841030,Fairy Escape
845200,❂ Hexaluga ❂ Weapon and Shield ☯
845530,Imperialism: The Dark Continent
845570,Super Punchman
847660,Story: Heaven & Hell (Complete Edition)
849320,Tank Rush
850500,Slum Ball VR Tournament
851840,Strangers of the Power 2
855530,New Ice York
857410,Red Spider3: A Heroine Never Dies
862120,Deconstructor
863560,Slime CCG
863940,Treasure Adventure Game
864020,Lost Legend
865770,Caffeine
868190,Sapper boom!
869370,The Goracle
872040,Hovership Havoc
873910,Rail World
874830,School of Horror
875780,Trivia King
875790,The Movie Trivia Challenge
876500,HyperDot
878570,Cryptochain
880830,Cavesweeper
881230,Top Down Racer
882280,Tinkr Garage
884770,Astro Bouncer
885240,Tower Stacker
885730,Aerial Guardian
886220,Thunderballs VR
887550,Dimetrosaur
889220,A Stickman Reality
889530,Sharp
890300,Kitrinos: Inside the Cube
891200,Bike Dash Excite!
891960,WebbVR: The James Webb Space Telescope Virtual Experience
893740,Memory Trainer
894120,Ghostman: The Council Calamity
895330,Unblock: The Parking
895570,Fairy Rescue
898010,Ratten Reich - Dance of Kings
905270,Merlin Soccer
905300,Daytona Racing
906170,Metal Brigade Tactics
907710,This is the Zodiac Speaking
907920,建筑大冒险 Architectural Adventure
908180,Space Maze
908500,crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth
912760,Volcanic Blocks
912820,Survive in Angaria 2
914230,Swamp Jump
914450,Test Subject 901
920500,Construction Charlie
920580,Tanks With Hands: Armed and Treaded
920640,Emitters - Drone Invasions
924040,Fairy Tower Defense
924810,Idle Kingdom Builder
926420,Model Railway Easily Christmas
926720,Kyiv: from dusk till dawn with Lenovo Explorer
927080,Space Fox Kimi
928370,Axe Throw VR
933070,Cold Blooded Cube
934830,Circuit Slinger
937130,Color Guardian
939930,Beach Pong
943290,Zombie school-丧尸学院
946690,RPGGAME
947310,Wonderland Trails
950600,Zoological Era
950890,Game Master Plus
951640,Gangsta Sniper
953440,"And You're There, Too"
954070,Beat Boxers
954170,Backyard Brawl
956000,Su Hack
956540,Color Phase
964070,Aim Theory - Trainer
966420,Hell Breaker
972280,Deep Space Shooter
973390,Empires:The Rise
975230,Das Geisterschiff / The Ghost Ship
976840,Happy Vampire Girl
979170,CARDCORE
982010,ZDF History 360° – Tempelhof
984240,School Grounds
985510,Necken
987910,WarZone Flashpoint
989000,Ruthless Water
1002970,Freefall 3050AD
1011110,Nero GameVR
1014270,Plaguepunk Justice
1014350,Once A Stray
1014810,Happy Words
1024970,Quantum Legend - VR Experience
1025500,Age-Old Cities VR
1032260,Dodge This!
1033640,SYNAPTIC DRIVE
1039110,Ikarus
1042910,Desdemona
1043610,Cold Cable: Lifeshift
1045020,Blanket Heavy With Nightmares
1045130,Raatihuone
1045680,Money Makes Money
1045850,The Walsingham Files - Chapter 1
1050170,Terramancer
1054180,Cheeky Beetle And The Unlikely Heroes
1054300,the fairytale of DEATH
1054310,Fade Out
1056330,L.S.S II
1058840,Super Web Kittens: Act I
1062410,Nekoland Studio
1065390,Virtual Hero VR
1066230,Project Katharsis
1068980,It Runs Red
1069090,PureDesktop
1081810,时之扉
1087310,DOOMTANK
1088070,HUNTERS FOR YOUR BRAIN
1089080,Superstar Hero
1090580,Gamehunt
1091030,LithoBreak
1098390,Project Wasteland: The Mythiclands
1098540,Monsters sandbox
1099400,唤境引擎 Evkworld
1101980,白石洲往事
1104320,The Treasure of the Dragon
1106970,Insect Simulator
1109100,El Tesoro de Isla Alcachofa
1112440,Falco Engine
1113370,Drone Wars VR
1114420,PLAY'A VR  Video Player
1121650,Dark Zone Defense
1124210,Heroes of Shaola
1125420,Death and Progress
1126580,The Captain is Dead
1129110,Magistrangers
1129210,A Million Conquests
1130700,AVABEL ONLINE
1141160,Fractalis
1142360,Hope for City
1145240,Dawn of the Dragons: Ascension
1146500,Adventure Slime
1156910,Galactic Management
1162570,The Protagonist: EX-1
1165270,Synthesis Universe -Episode 00-
1173950,Debugger 3.16 // Recoded // Despair of the Developer Edition
1175250,Finders Reapers
1175720,Gerritory
1183840,Dungeon of Rikka
1184530,Aurora - Hidden Colors
1185370,Parked In The Dark
1186670,Fateless
1193200,K37-D
1193350,生物知识格斗大赛
1198490,All That Remains: Part 1
1202100,Bodyless
1204320,Ephemeral Tale
1210770,Battle Team
1212450,Mineirinho Shooter DC
1215720,Hero's Journey
1219310,欢乐逗病毒TD
1219590,HEAT REBORN
1221330,One Shot
1226420,The Tide Intro
1230570,Shotgun n  Zombies
1232410,孙美琪疑案 第二季
1233030,Armorik the Viking: The Eight Conquests
1233460,Star Escape
1241110,ANARCHY
1245930,Flaming Friday Night
1248150,Warshmallows
1249620,"Adventures of JQ Jones: ""Isle of the Serpent Empress"""
1250610,Flash Snooker Game
1255060,THE SKIES: REBORN
1255420,Murders in Space
1256480,A Siren's Call
1257550,Mercenary Skirmish
1257720,Help Me Now
1257950,Motor Mash
1259280,ambr
1261750,Em-A-Zurvival
1263920,Dark Space
1265270,Madness Fantasy
1266680,Strobophagia | Rave Horror
1270570,All Over
1275810,Stan Lee's Verticus
1276090,Creator Adventure Legend
1277360,异界大陆
1278000,HistoryMaker VR
1278290,xDasher
1281150,Modiverse
1283580,Minimalist Space War
1283610,Protoball Beta
1286810,Mission Biotech
1287180,Squares
1288790,BeachHead 2020
1290390,PT+
1290830,逃出图书馆(Escape from Library)
1292880,Hit Zero: Chronos
1293950,Masquerade of Miasma
1295670,My Strong Horse
1299710,Return of the Phantom
1299720,Les Manley in: Search for the King
1300060,SMIB: Mission Cure
1303270,Ungeon
1305500,Captain Disaster in: The Dark Side of the Moon
1307370,Rain City
1308660,Gun Master
1311730,lost cube
1312160,Astro Dash
1313330,HEDE Game Engine
1315250,Escape from the Cosmic Abyss
1320710,Glitch Escape
1324730,Steam revolution VR
1330290,READY AIM FIRE
1331120,Kármán line: the edge of war
1331610,Super Neo Tanks
1331670,International Space Banana
1333530,Acolyte: Prologue
1335810,Bunny's Maze
1336230,AVRACH RESURRECTION
1337170,Lords of the Shattered Kingdom
1337600,Wetware
1338090,The Zombie's Horror
1339220,Matts Project Zombies
1339790,Battleground
1340410,Carnage
1340850,韦弗利山 - Waverly Hills
1340910,From The Grave
1341400,Oniria Crimes
1341830,Steel Thunder
1341960,Fuhrer in LA - Special Edition
1342220,Jurassic Fantasy
1342600,Oneons: Prisoners
1342900,Basketing
1343140,Choices That Matter: And The Sun Went Out
1343700,Break Space: Out of Bounds
1344340,GALSAD - Galactic Salvage and Disposal
1344520,Apprentice Arriving
1344790,Unsung Kingdom
1344800,Twin-Turbo Supercharged Nitro-Fueled Papamobile
1345050,Wotheguel
1345830,迷宫：消灭机器人
1345980,Survive.com
1346310,Project Senko
1346400,Battle Engine Aquila
1346800,PERFECT MATTER
1350170,EscapeVr
1350470,Impossible Target
1350920,Liege Dragon
1352380,Guts 'N Goals: Preseason
1352440,Brick Building
1353130,Hoplichess
1353950,Ring of Fire: Prologue
1354370,Bound Forest Alpha
1354530,Ultikill
1355050,Traurig Secrets: Prologue
1355300,Swallow The Blue
1355390,Obreno: Chapter One
1356160,Andromeda One Zombies
1357490,Gunboat
1357540,Altered Destiny
1358050,Sanatorium «Anthropocene Retreat»
1358100,Directional Isolation VR
1358430,War War
1358880,Liberated: Free Trial
1359520,ENCODE
1360280,CATMAN-GIMMICK ACTION GAME-
1360890,JUST A GAME
1361020,Living the Nightmare
1361240,Teenage Blob: Paperperson - The First Single
1361480,"Robots, Death & Venice"
1362400,Critical Zone
1363810,Astra
1365590,Timewalk Tower Defense
1365760,Defold
1366270,Primal Carnage: Extinction - Workshop Tool
1366680,San Diablos
1367160,Wetlands
1368560,Rogue Randy
1368620,Healing Movement
1368830,回纹战棋
1369570,Spirit Messages
1369800,Spaceslingers
1369830,Kaiju Krashers
1370570,First Person Shooter Kit Showcase
1370950,Out of Oblivion
1371050,Illness in the East
1372260,Watch Your Helmet
1372640,Candle In Darkness
1373170,Slimesphere
1373500,Mist of the Undead
1373770,Sea Legends
1373810,Orlando Theme Park VR - Roller Coaster and Rides
1376470,Hunted
1377160,Enlightened Sentinel
1377240,Five-Finger Gunslinger
1377680,CROSSFIRE II (2002)
1378390,Endurance - space action
1378860,Cubic Currency
1379270,Wild Dose: First Session
1380260,Space Empires: Starfury
1380400,Saving Grace
1380630,The Adventures of Wolf and Hood - A Jigsaw Tale
1381770,フォーチュンサモナーズ -アルチェの精霊石-
1382350,The Beast of Stormy Forest
1382890,Mystic Midway: Rest in Pieces
1382920,Caravan Trade Tycoon
1383400,Crystal Ortha
1383850,Gurobu
1383920,Shattering Obsidian
1385190,After The War
1386110,Xentron Attack
1386460,Zodiakalik
1388030,Bocce VR Simulator
1388130,Religion inc God Simulator
1388860,Unmemory
1388910,Deadly Forest
1389010,Deathroids
1389190,Rear of Business
